Column1;id;title;neighborhood;sq_mt_built;sq_mt_useful;n_rooms;n_bathrooms;n_floors;sq_mt_allotment;latitude;longitude;raw_address;is_exact_address_hidden;street_name;street_number;portal;floor;is_floor_under;door;price_area;neighborhood_area;operation;rent_price;rent_price_by_area;is_rent_price_known;buy_price;buy_price_by_area;is_buy_price_known;house_type_id;is_renewal_needed;is_new_development;built_year;has_central_heating;has_individual_heating;are_pets_allowed;has_ac;has_fitted_wardrobes;has_lift;is_exterior;has_garden;has_pool;has_terrace;has_balcony;has_storage_room;is_furnished;is_kitchen_equipped;is_accessible;has_green_zones;energy_certificate;has_parking;has_private_parking;has_public_parking;is_parking_included_in_price;parking_price;is_orientation_north;is_orientation_west;is_orientation_south;is_orientation_east
0;21742;Piso en venta en calle de Godella, 64;San Cristóbal;64;60;2;1;;;;;Calle de Godella, 64;FALSO;Calle de Godella;64;;3;FALSO;;1308.89;Villaverde;sale;471;;FALSO;85000;1328;VERDADERO;Pisos;FALSO;FALSO;1960;;;;VERDADERO;;FALSO;VERDADERO;;;;;;;;;;D;FALSO;;;;;FALSO;VERDADERO;FALSO;FALSO
1;21741;Piso en venta en calle de la del Manojo de Rosas;Los Ángeles;70;;3;1;;;;;Calle de la del Manojo de Rosas;VERDADERO;Calle de la del Manojo de Rosas;;;4;FALSO;;1796.68;Villaverde;sale;666;;FALSO;129900;1856;VERDADERO;Pisos;VERDADERO;FALSO;;;;;;VERDADERO;VERDADERO;VERDADERO;;;VERDADERO;;;;;;;en trámite;FALSO;;;;;;;;
2;21740;Piso en venta en calle del Talco, 68;San Andrés;94;54;2;2;;;;;Calle del Talco, 68;FALSO;Calle del Talco;68;;1;FALSO;;1617.18;Villaverde;sale;722;;FALSO;144247;1535;VERDADERO;Pisos;FALSO;FALSO;;FALSO;VERDADERO;;;VERDADERO;VERDADERO;VERDADERO;;;;;VERDADERO;;;;;no indicado;FALSO;;;;;;;;
3;21739;Piso en venta en calle Pedro Jiménez;San Andrés;64;;2;1;;;;;Calle Pedro Jiménez;VERDADERO;Calle Pedro Jiménez;;;Bajo;VERDADERO;;1617.18;Villaverde;sale;583;;FALSO;109900;1717;VERDADERO;Pisos;FALSO;FALSO;1955;;;;;;VERDADERO;VERDADERO;;;;;VERDADERO;;;VERDADERO;;en trámite;FALSO;;;;;FALSO;FALSO;VERDADERO;FALSO
4;21738;Piso en venta en carretera de Villaverde a Vallecas;Los Rosales;108;90;2;2;;;;;Carretera de Villaverde a Vallecas;VERDADERO;Carretera de Villaverde a Vallecas;;;4;FALSO;;1827.79;Villaverde;sale;1094;;FALSO;260000;2407;VERDADERO;Pisos;FALSO;FALSO;2003;;;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;;VERDADERO;;;VERDADERO;;;;VERDADERO;en trámite;VERDADERO;;;VERDADERO;0;VERDADERO;VERDADERO;VERDADERO;VERDADERO
5;21737;Piso en venta en geologia;San Andrés;126;114;4;2;;;;;geologia;VERDADERO;geologia;;;3;FALSO;;1617.18;Villaverde;sale;901;;FALSO;195000;1548;VERDADERO;Pisos;FALSO;FALSO;1981;FALSO;VERDADERO;;;;FALSO;VERDADERO;;;VERDADERO;VERDADERO;;;;VERDADERO;;en trámite;VERDADERO;;;VERDADERO;0;FALSO;FALSO;FALSO;VERDADERO
6;21736;Piso en venta en avenida Real de Pinto;San Andrés;120;100;5;2;;;;;Avenida Real de Pinto;VERDADERO;Avenida Real de Pinto;;;1;FALSO;;1617.18;Villaverde;sale;884;;FALSO;190000;1583;VERDADERO;Pisos;FALSO;FALSO;;FALSO;VERDADERO;;VERDADERO;VERDADERO;FALSO;VERDADERO;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;;;;VERDADERO;F;VERDADERO;;;VERDADERO;0;FALSO;FALSO;VERDADERO;FALSO
7;21735;Piso en venta en San Andrés;Villaverde;125;100;3;2;;;;;;VERDADERO;;;;2;FALSO;;1617.18;Villaverde;sale;912;;FALSO;198500;1588;VERDADERO;Pisos;FALSO;FALSO;;;;;VERDADERO;VERDADERO;FALSO;VERDADERO;;;VERDADERO;;;;;;;no indicado;FALSO;;;;;FALSO;FALSO;VERDADERO;FALSO
8;21734;Piso en venta en Butarque;Villaverde;84;70;3;2;;;;;;VERDADERO;;;;;;;2197.8;Villaverde;sale;954;;FALSO;212000;2524;VERDADERO;Pisos;FALSO;FALSO;;;;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;;VERDADERO;;;VERDADERO;;;VERDADERO;VERDADERO;F;VERDADERO;;;VERDADERO;0;;;;
9;21733;Piso en venta en calle de Martinez Oviol;Los Rosales;85;;2;1;;;;;Calle de Martinez Oviol;VERDADERO;Calle de Martinez Oviol;;;7;FALSO;;1827.79;Villaverde;sale;672;;FALSO;131400;1546;VERDADERO;Pisos;VERDADERO;FALSO;1950;FALSO;VERDADERO;;;;FALSO;VERDADERO;;;VERDADERO;;;;;;;en trámite;FALSO;;;;;FALSO;VERDADERO;FALSO;FALSO
10;21732;Piso en venta en De la Plata - Villaverde;San Andrés;69;;2;2;;;;;De la Plata - Villaverde;VERDADERO;De la Plata - Villaverde;;;2;FALSO;;1617.18;Villaverde;sale;617;;FALSO;118000;1710;VERDADERO;Pisos;VERDADERO;FALSO;1963;;;;;;FALSO;VERDADERO;;;VERDADERO;;;;;;;en trámite;FALSO;;;;;;;;
11;21731;Piso en venta en Butarque;Villaverde;122;98;3;2;;;;;;VERDADERO;;;;6;FALSO;;2197.8;Villaverde;sale;1058;;FALSO;246900;2024;VERDADERO;Pisos;FALSO;FALSO;;;;;VERDADERO;VERDADERO;VERDADERO;;;VERDADERO;;;VERDADERO;;;;VERDADERO;E;VERDADERO;;;VERDADERO;0;;;;
12;21730;Piso en venta en calle de la Unanimidad, 67;Los Rosales;123;104;3;2;;;;;Calle de la Unanimidad, 67;FALSO;Calle de la Unanimidad;67;;4;FALSO;;1827.79;Villaverde;sale;901;;FALSO;195000;1585;VERDADERO;Pisos;FALSO;FALSO;1992;;;;VERDADERO;VERDADERO;VERDADERO;VERDADERO;;;;;;;;;;D;FALSO;;;;;FALSO;FALSO;FALSO;VERDADERO
13;21729;Piso en venta en calle de Anoeta, 63;Los Ángeles;109;90;3;2;;;;;Calle de Anoeta, 63;FALSO;Calle de Anoeta;63;;3;FALSO;;1796.68;Villaverde;sale;933;;FALSO;205000;1881;VERDADERO;Pisos;FALSO;FALSO;1983;;;;;VERDADERO;VERDADERO;VERDADERO;;;VERDADERO;;VERDADERO;;;;;E;FALSO;;;;;FALSO;FALSO;VERDADERO;FALSO
